Opt158879_1	 Firmicutes	Bacilli	Staphylococcus aureus subsp. aureus N315
Opt171101_1	 Firmicutes	Bacilli	Streptococcus pneumoniae R6
Opt208964_1	 Proteobacteria	Gammaproteobacteria	Pseudomonas aeruginosa PAO1
Opt224308_1	 Firmicutes	Bacilli	Bacillus subtilis subsp. subtilis str. 168
Opt243273_1	 Firmicutes	Mollicutes	Mycoplasma genitalium G-37
Opt243277_1	 Proteobacteria	Gammaproteobacteria	Vibrio cholerae O1 biovar eltor str. N16961
Opt272635_1	 Firmicutes	Mollicutes	Mycoplasma pulmonis UAB CTIP
Opt401614_5	 Proteobacteria	Gammaproteobacteria	Francisella tularensis subsp. novicida U112
Opt62977_3	 Proteobacteria	Gammaproteobacteria	Acinetobacter sp. ADP1
Opt71421_1	 Proteobacteria	Gammaproteobacteria	Haemophilus influenzae Rd KW20
Opt83332_1	 Actinobacteria	Actinobacteria (class)	Mycobacterium tuberculosis H37Rv
Opt83333_1	 Proteobacteria	Gammaproteobacteria	Escherichia coli K12
Opt85962_1	 Proteobacteria	delta/epsilon subdivisions	Helicobacter pylori 26695
Opt99287_1	 Proteobacteria	Gammaproteobacteria	Salmonella typhimurium LT2
Seed100226_1	 Actinobacteria	Actinobacteria (class)	Streptomyces coelicolor A3(2)
Seed106370_11	 Actinobacteria	Actinobacteria (class)	Frankia sp. Ccl3
Seed107806_1	 Proteobacteria	Gammaproteobacteria	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
Seed115711_7	 Chlamydiae/Verrucomicrobia group	Chlamydiae	Chlamydophila pneumoniae AR39
Seed122586_1	 Proteobacteria	Betaproteobacteria	Neisseria meningitidis MC58
Seed158878_1	 Firmicutes	Bacilli	Staphylococcus aureus subsp. aureus Mu50
Seed160488_1	 Proteobacteria	Gammaproteobacteria	Pseudomonas putida KT2440
Seed160490_1	 Firmicutes	Bacilli	Streptococcus pyogenes M1 GAS
Seed160492_1	 Proteobacteria	Gammaproteobacteria	Xylella fastidiosa 9a5c
Seed163164_1	 Proteobacteria	Alphaproteobacteria	Wolbachia sp. endosymbiont of Drosophila melanogaster
Seed169963_1	 Firmicutes	Bacilli	Listeria monocytogenes EGD-e
Seed170187_1	 Firmicutes	Bacilli	Streptococcus pneumoniae TIGR4
Seed176299_3	 Proteobacteria	Alphaproteobacteria	Agrobacterium tumefaciens str. C58
Seed177416_3	 Proteobacteria	Gammaproteobacteria	Francisella tularensis subsp. tularensis Schu 4
Seed190304_1	 Fusobacteria	Fusobacteria (class)	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
Seed190650_1	 Proteobacteria	Alphaproteobacteria	Caulobacter crescentus CB15
Seed192222_1	 Proteobacteria	delta/epsilon subdivisions	Campylobacter jejuni subsp. jejuni NCTC 11168
Seed196600_1	 Proteobacteria	Gammaproteobacteria	Vibrio vulnificus YJ016
Seed196627_4	 Actinobacteria	Actinobacteria (class)	Corynebacterium glutamicum ATCC 13032
Seed198094_1	 Firmicutes	Bacilli	Bacillus anthracis str. Ames
Seed198215_1	 Proteobacteria	Gammaproteobacteria	Shigella flexneri 2a str. 2457T
Seed203267_1	 Actinobacteria	Actinobacteria (class)	Tropheryma whipplei str. Twist
Seed203907_1	 Proteobacteria	Gammaproteobacteria	Candidatus Blochmannia floridanus
Seed205922_3	 Proteobacteria	Gammaproteobacteria	Pseudomonas fluorescens PfO-1
Seed206672_1	 Actinobacteria	Actinobacteria (class)	Bifidobacterium longum NCC2705
Seed207559_3	 Proteobacteria	delta/epsilon subdivisions	Desulfovibrio desulfuricans G20
Seed211586_9	 Proteobacteria	Gammaproteobacteria	Shewanella oneidensis MR-1
Seed212717_1	 Firmicutes	Clostridia	Clostridium tetani E88
Seed214092_1	 Proteobacteria	Gammaproteobacteria	Yersinia pestis CO92
Seed216596_1	 Proteobacteria	Alphaproteobacteria	Rhizobium leguminosarum bv. viciae 3841
Seed216598_1	 Proteobacteria	Gammaproteobacteria	Shigella dysenteriae M131649
Seed220668_1	 Firmicutes	Bacilli	Lactobacillus plantarum WCFS1
Seed221988_1	 Proteobacteria	Gammaproteobacteria	Mannheimia succiniciproducens MBEL55E
Seed223926_1	 Proteobacteria	Gammaproteobacteria	Vibrio parahaemolyticus RIMD 2210633
Seed224324_1	 Aquificae	Aquificae (class)	Aquifex aeolicus VF5
Seed224326_1	 Spirochaetes	Spirochaetes (class)	Borrelia burgdorferi B31
Seed224911_1	 Proteobacteria	Alphaproteobacteria	Bradyrhizobium japonicum USDA 110
Seed224914_1	 Proteobacteria	Alphaproteobacteria	Brucella melitensis 16M
Seed227377_1	 Proteobacteria	Gammaproteobacteria	Coxiella burnetii RSA 493
Seed228410_1	 Proteobacteria	Betaproteobacteria	Nitrosomonas europaea ATCC 19718
Seed234826_3	 Proteobacteria	Alphaproteobacteria	Anaplasma marginale str. St. Maries
Seed235909_3	 Firmicutes	Bacilli	Geobacillus kaustophilus HTA426
Seed242231_4	 Proteobacteria	Betaproteobacteria	Neisseria gonorrhoeae FA 1090
Seed242619_1	 Bacteroidetes/Chlorobi group	Bacteroidetes	Porphyromonas gingivalis W83
Seed243164_3	 Chloroflexi	Dehalococcoidetes	Dehalococcoides ethenogenes 195
Seed243230_1	 Deinococcus-Thermus	Deinococci	Deinococcus radiodurans R1
Seed243231_1	 Proteobacteria	delta/epsilon subdivisions	Geobacter sulfurreducens PCA
Seed243233_4	 Proteobacteria	Gammaproteobacteria	Methylococcus capsulatus str. Bath
Seed243265_1	 Proteobacteria	Gammaproteobacteria	Photorhabdus luminescens subsp. laumondii TTO1
Seed243274_1	 Thermotogae	Thermotogae (class)	Thermotoga maritima MSB8
Seed243276_1	 Spirochaetes	Spirochaetes (class)	Treponema pallidum subsp. pallidum str. Nichols
Seed246194_3	 Firmicutes	Clostridia	Carboxydothermus hydrogenoformans Z-2901
Seed246200_3	 Proteobacteria	Alphaproteobacteria	Silicibacter pomeroyi DSS-3
Seed247156_1	 Actinobacteria	Actinobacteria (class)	Nocardia farcinica IFM 10152
Seed257313_1	 Proteobacteria	Betaproteobacteria	Bordetella pertussis Tohama I
Seed258594_1	 Proteobacteria	Alphaproteobacteria	Rhodopseudomonas palustris CGA009
Seed261594_1	 Firmicutes	Bacilli	Bacillus anthracis str. 'Ames Ancestor'
Seed262768_1	 Firmicutes	Mollicutes	Onion yellows phytoplasma OY-M
Seed264203_3	 Proteobacteria	Alphaproteobacteria	Zymomonas mobilis subsp. mobilis ZM4
