Rxn ID,EC Number
rxn08015,6.2.1.20
rxn08016,6.2.1.20
rxn08017,6.2.1.20
rxn08018,6.2.1.20
new_rxn00005,3.5.1.16
rxn02411,4.2.1.87
rxn00444,1.11.1.11
new_rxn00013,1.1.1.100
new_rxn00014,4.2.1.59
new_rxn00015,1.3.1.10
new_rxn00016,2.3.1.41
new_rxn00017,1.1.1.100
new_rxn00018,4.2.1.59
new_rxn00019,1.3.1.10
new_rxn00020,Undetermined
new_rxn00021,2.3.1.47
new_rxn00001,1.13.11.z
rxn01731,6.2.1.5
rxn01732,6.2.1.4
rxn01733,6.2.1.4
rxn01805,4.2.1.56
new_rxn00022,Undetermined
rxn02170,4.3.1.14
rxn07847,4.3.-.-
rxn07848,1.5.1.-
rxn05275,2.3.1.41
rxn05276,2.3.1.41
rxn05278,2.3.1.41
rxn05279,2.3.1.41
new_rxn00002,2.6.1.40
rxn11394,Undetermined
new_rxn00003,Undetermined
new_rxn00008,Undetermined
new_rxn00009,Undetermined
rxn05685,Undetermined
rxn05704,Undetermined
rxn05708,Undetermined
rxn10134,Undetermined
rxn10135,Undetermined
rxn10507,Undetermined
rxn10560,Undetermined
rxn10605,Undetermined
rxn10947,1.9.3.1
rxn11325,Undetermined
rxn11408,Undetermined
rxn12532,Undetermined
rxn12551,Undetermined
rxn13196,Undetermined
rxn13291,Undetermined
rxn13373,Undetermined
rxn13708,Undetermined
rxn13758,Undetermined
rxn13811,Undetermined
rxn13822,Undetermined
rxn01418,1.2.4.2
new_rxn00004,1.2.1.26
new_rxn00006,Undetermined
new_rxn00007,Undetermined
new_rxn00010,Undetermined
new_rxn00011,Undetermined
new_rxn00012,Undetermined
rxn00075,3.2.2.5
rxn00096,2.7.7.53
rxn00140,3.1.4.17
rxn00177,4.1.3.22
rxn00186,3.5.2.9
rxn00204,1.2.3.4
rxn00228,3.11.1.2
rxn00234,4.1.3.22
rxn00263,1.4.3.1
rxn00270,2.1.1.20
rxn00286,Undetermined
rxn00320,5.1.1.5
rxn00334,4.1.3.13
rxn00373,4.1.1.2
rxn00489,1.13.12.9
rxn00495,4.3.1.5
rxn00538,4.2.3.2
rxn00582,5.4.99.11
rxn00741,1.1.1.27
rxn00766,3.1.3.19
rxn00801,3.7.1.5
rxn00869,1.2.1.10
rxn00870,1.2.1.57
rxn00895,2.3.1.3
rxn00906,1.5.1.15
rxn00908,2.1.2.10
rxn00920,3.1.4.17
rxn00934,6.2.1.9
rxn01003,4.1.1.43
rxn01032,1.2.1.28
