"id"	"abbrev"	"name"
"cpd00001"	"h2o"	"H2O"
"cpd00002"	"atp"	"ATP"
"cpd00003"	"nad"	"NAD"
"cpd00004"	"nadh"	"NADH"
"cpd00005"	"nadph"	"NADPH"
"cpd00006"	"nadp"	"NADP"
"cpd00007"	"o2"	"O2"
"cpd00008"	"adp"	"ADP"
"cpd00009"	"pi"	"Phosphate"
"cpd00010"	"coa"	"CoA"
"cpd00011"	"co2"	"CO2"
"cpd00012"	"ppi"	"PPi"
"cpd00013"	"nh4"	"NH3"
"cpd00014"	"udp"	"UDP"
"cpd00015"	"fad"	"FAD"
"cpd00016"	"pydx5p"	"Pyridoxal phosphate"
"cpd00017"	"amet"	"S-Adenosyl-L-methionine"
"cpd00018"	"amp"	"AMP"
"cpd00019"	"ahcys"	"S-Adenosyl-homocysteine"
"cpd00020"	"pyr"	"Pyruvate"
"cpd00021"	"fe2"	"Fe2+"
"cpd00022"	"accoa"	"Acetyl-CoA"
"cpd00023"	"glu-L"	"L-Glutamate"
"cpd00024"	"akg"	"2-Oxoglutarate"
"cpd00025"	"h2o2"	"H2O2"
"cpd00026"	"udpg"	"UDP-glucose"
"cpd00027"	"glc-D"	"D-Glucose"
"cpd00028"	"pheme"	"Heme"
"cpd00029"	"ac"	"Acetate"
"cpd00030"	"mn2"	"Mn2+"
"cpd00031"	"gdp"	"GDP"
"cpd00032"	"oaa"	"Oxaloacetate"
"cpd00033"	"gly"	"Glycine"
"cpd00034"	"zn2"	"Zn2+"
"cpd00035"	"ala-L"	"L-Alanine"
"cpd00036"	"succ"	"Succinate"
"cpd00037"	"uacgam"	"UDP-N-acetylglucosamine"
"cpd00038"	"gtp"	"GTP"
"cpd00039"	"lys-L"	"L-Lysine"
"cpd00040"	"glx"	"Glyoxalate"
"cpd00041"	"asp-L"	"L-Aspartate"
"cpd00042"	"gthrd"	"GSH"
"cpd00043"	"udpgal"	"UDP-galactose"
"cpd00044"	"paps"	"3-phosphoadenylylsulfate"
"cpd00045"	"pap"	"Adenosine 3-5-bisphosphate"
"cpd00046"	"cmp"	"CMP"
"cpd00047"	"for"	"Formate"
"cpd00048"	"so4"	"Sulfate"
"cpd00049"	"cbs_168"	"Carboxylic acid"
"cpd00050"	"fmn"	"FMN"
"cpd00051"	"arg-L"	"L-Arginine"
"cpd00052"	"ctp"	"CTP"
"cpd00053"	"gln-L"	"L-Glutamine"
"cpd00054"	"ser-L"	"L-Serine"
"cpd00055"	"fald"	"Formaldehyde"
"cpd00056"	"thmpp"	"TPP"
"cpd00057"	"Alcohol"	"Alcohol"
"cpd00058"	"cu2"	"Cu2+"
"cpd00059"	"ascb"	"L-Ascorbate"
"cpd00060"	"met-L"	"L-Methionine"
"cpd00061"	"pep"	"Phosphoenolpyruvate"
"cpd00062"	"utp"	"UTP"
"cpd00063"	"ca2"	"Ca2+"
"cpd00064"	"orn"	"Ornithine"
"cpd00065"	"trp-L"	"L-Tryptophan"
"cpd00066"	"phe-L"	"L-Phenylalanine"
"cpd00067"	"h"	"H+"
"cpd00068"	"itp"	"ITP"
"cpd00069"	"tyr-L"	"L-Tyrosine"
"cpd00070"	"malcoa"	"Malonyl-CoA"
"cpd00071"	"acald"	"Acetaldehyde"
"cpd00072"	"f6p"	"D-fructose-6-phosphate"
"cpd00073"	"urea"	"Urea"
"cpd00074"	"s"	"S"
"cpd00075"	"no2"	"Nitrite"
"cpd00076"	"sucr"	"Sucrose"
"cpd00077"	"catechol"	"Catechol"
"cpd00078"	"succoa"	"Succinyl-CoA"
"cpd00079"	"g6p"	"D-glucose-6-phosphate"
"cpd00080"	"glyc3p"	"Glycerol-3-phosphate"
"cpd00081"	"so3"	"Sulfite"
"cpd00082"	"fru"	"D-Fructose"
"cpd00083"	"gdpmann"	"GDP-mannose"
"cpd00084"	"cys-L"	"L-Cysteine"
"cpd00085"	"ala-B"	"beta-Alanine"
"cpd00086"	"ppcoa"	"Propionyl-CoA"
"cpd00087"	"thf"	"Tetrahydrofolate"
"cpd00088"	"DCIP"	"2,6-dichloroindophenol"
"cpd00089"	"g1p"	"Glucose-1-phosphate"
"cpd00090"	"idp"	"IDP"
"cpd00091"	"ump"	"UMP"
"cpd00092"	"ura"	"Uracil"
"cpd00093"	"anth"	"Anthranilate"
"cpd00094"	"2obut"	"2-Oxobutyrate"
"cpd00095"	"dhap"	"Glycerone-phosphate"
"cpd00096"	"cdp"	"CDP"
"cpd00097"	"pqq"	"Pyrroloquinoline-quinone"
"cpd00098"	"chol"	"Choline"
